Rec6,23,4491.958,4492.890
Rec6,24,4729.862,4730.917
Rec6,25,4732.757,4733.258
Rec6,26,4827.677,4828.416
Rec6,27,4922.933,4923.596
Rec6,28,4932.641,4934.398
Rec6,29,4971.669,4973.834
Rec6,30,5149.811,5151.028
Rec6,31,5296.252,5297.254
Rec6,32,5438.082,5439.061
Rec6,33,5443.221,5443.841
Rec6,34,5444.196,5445.198
Rec6,35,5447.199,5448.309
Rec6,36,5520.206,5520.914
Rec6,37,5591.591,5592.133
